"Last Starfighter, The",Mindscape,1990
Lee Trevino's Fighting Golf,SNK,1988
Legacy of the Wizard,Broderbund,1989
"Legend of Kage, The",Taito,1987
"Legend of Zelda, The (Gold Cartridge)",Nintendo,1987
"Legend of Zelda, The (Grey Cartridge)",Nintendo,1992
Legendary Wings,Capcom,1988
Legends of the Diamond,Bandai,1992
Lemmings,Sunsoft,1992
Lethal Weapon,Ocean Software,1993
Life Force,Konami,1988
Linus Spacehead's Cosmic Crusade,Camerica,1991
Linus Spacehead's Cosmic Crusade (Aladdin),Camerica,1991
Little League Baseball: Championship Series,SNK,1990
"Little Mermaid, The",Capcom,1991
Little Nemo: The Dream Master,Capcom,1990
Little Ninja Brothers,Culture Brain,1990
Little Samson,Taito,1992
Lode Runner,Broderbund,1987
"Lone Ranger, The",Konami,1991
Loopz,Mindscape,1990
Low G Man: The Low Gravity Man,Taxan,1990
Lunar Pool,FCI,1987
M.C. Kids,Virgin Games,1992
M.U.L.E.,Mindscape,1990
M.U.S.C.L.E.,Bandai,1986
Mach Rider,Nintendo,1985
Mad Max,Mindscape,1990
"Mafat Conspiracy, The",Vic Tokai,1990
Magic Darts,Romstar,1991
Magic Johnson's Fast Break,Tradewest,1990
"Magic of Scheherazade, The",Culture Brain,1989
Magician,Taxan,1991
Magmax,FCI,1988
Major League Baseball,LJN,1988
Maniac Mansion,Jaleco,1990
Mappy-Land,Taxan,1989
Marble Madness,Milton Bradley,1989
Mario Bros.,Nintendo,1986
Mario Is Missing!,Mindscape,1993
Mario's Time Machine,Mindscape,1994
Master Chu and the Drunkard Hu,Color Dreams,1989
Maxi 15,AVE,1992
Mechanized Attack,SNK,1990
Mega Man,Capcom,1987
Mega Man 2,Capcom,1989
Mega Man 3,Capcom,1990
Mega Man 4,Capcom,1992
Mega Man 5,Capcom,1992
Mega Man 6,Nintendo,1994
Menace Beach,Color Dreams,1990
Mendel Palace,Hudson Soft,1990
Mermaids of Atlantis: The Riddle of the Magic Bubble,AVE,1991
Metal Fighter,Color Dreams,1989
Metal Gear,Ultra Games (Konami),1988
Metal Mech,Jaleco,1991
Metal Storm,Irem,1991
Metroid (Silver Label),Nintendo,1987
Metroid (Yellow Label),Nintendo,1992
Michael Andretti's World GP,American Sammy,1990
Mickey Mousecapade,Capcom,1988
Mickey's Adventure in Numberland,Hi-Tech Expressions,1994
Mickey's Safari in Letterland,Hi-Tech Expressions,1993
Micro Machines,Camerica,1991
Micro Machines (Aladdin),Camerica,1991
MiG 29: Soviet Fighter,Camerica,1989
Might & Magic: Secret of the Inner Sanctum,American Sammy,1992
Mighty Bomb Jack,Tecmo,1987
Mighty Final Fight,Capcom,1993
Mike Tyson's Punch-Out!!,Nintendo,1987
Millipede,HAL Laboratory,1988
Milon's Secret Castle,Hudson Soft,1988
"Miracle Piano Teaching System, The",Mindscape,1990
Mission Cobra,Bunch Games,1990
Mission: Impossible,Ultra Games (Konami),1990
Monopoly,Parker Brothers,1991
Monster in My Pocket,Konami,1992
Monster Party,Bandai,1989
Monster Truck Rally,INTV,1991
Moon Ranger,Bunch Games,1990
Motor City Patrol,Matchbox International,1992
Ms. Pac-Man (Namco),Namco,1993
Ms. Pac-Man (Tengen),Tengen,1990
Muppet Adventure: Chaos at the Carnival,Hi-Tech Expressions,1990
"Mutant Virus, The: Crisis in a Computer World",American Softworks,1992
Mystery Quest,Taxan,1989
NARC,Acclaim,1990
NES Open Tournament Golf,Nintendo,1991
NES Play Action Football,Nintendo,1990
NFL Football,LJN,1989
Nigel Mansell's World Championship Racing,GameTek,1993
"Nightmare on Elm Street, A",LJN,1990
Nightshade,Ultra Games (Konami),1992
Ninja Crusaders,American Sammy,1990
Ninja Gaiden,Tecmo,1989
Ninja Gaiden II: The Dark Sword of Chaos,Tecmo,1990
Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,1991
Ninja Kid,Bandai,1986
Nintendo World Cup,Nintendo,1990
Nobunaga's Ambition,Koei,1989
Nobunaga's Ambition II,Koei,1991
North & South,Kemco,1990
Operation Secret Storm,Color Dreams,1992
Operation Wolf,Taito,1989
Orb 3-D,Hi-Tech Expressions,1990
Othello,Acclaim,1988
Overlord,Virgin Games,1993
"P'radikus Conflict, The",Color Dreams,1990
P.O.W.: Prisoners of War,SNK,1989
Pac-Man (Namco),Namco,1993
Pac-Man (Tengen -- licensed grey cart),Tengen,1987
Pac-Man (Tengen -- unlicensed black cart),Tengen,1987
Pac-Mania,Tengen,1990
Palamedes,Hot-B,1990
Panic Restaurant,Taito,1992
Paperboy,Mindscape,1988
Paperboy 2,Mindscape,1992
